model1,1,359.09520494,0.0001,0.01,0.10661804
model2,1,223.60056752,0.0001,0.01,0.12507886
model3,1,139.29477506,0.0001,0.01,0.14675866
model4,1,86.82188263,0.0001,0.01,0.17222715
model5,1,54.14963342,0.0001,0.01,0.20215798
model6,1,33.79713658,0.0001,0.01,0.2373489
model7,1,21.11232928,0.0001,0.01,0.27874619
model8,1,13.20161171,0.0001,0.01,0.32747449
model9,1,8.26466651,0.0001,0.01,0.38487337
model10,1,5.18103125,0.0001,0.01,0.45254256
model11,1,3.25310613,0.0001,0.01,0.53239798
model12,1,2.04637771,0.0001,0.01,0.62674191
model13,1,1.29006419,0.0001,0.01,0.73835139
model14,1,0.81531935,0.0001,0.01,0.8705904
model15,1,0.51678662,0.0001,0.01,1.02755347
model16,1,0.32867311,0.0001,0.01,1.21425104
model17,1,0.20985434,0.0001,0.01,1.43685088
model18,1,0.13459729,0.0001,0.01,1.70299516
model19,1,0.08677969,0.0001,0.01,2.02222103
model20,1,0.05628594,0.0001,0.01,2.40652338
model21,1,0.03675852,0.0001,0.01,2.87111513
model22,1,0.0241941,0.0001,0.01,3.43546399
model23,1,0.01606614,0.0001,0.01,4.12471984
model24,1,0.01077605,0.0001,0.01,4.97169825
model25,1,0.00730941,0.0001,0.01,6.01966297
model26,1,0.00502034,0.0001,0.01,7.32626568
model27,1,0.00349606,0.0001,0.01,8.96917569
model28,1,0.00247164,0.0001,0.01,11.05419684
model29,1,0.00177622,0.0001,0.01,13.7270735
model30,1,0.00129903,0.0001,0.01,17.19080697
model31,1,359.46635114,0.00013738,0.01,0.10665486
model32,1,223.87128223,0.00013738,0.01,0.12512948
model33,1,139.49230469,0.00013738,0.01,0.14682826
model34,1,86.96607168,0.00013738,0.01,0.17232285
model35,1,54.25493683,0.00013738,0.01,0.2022896
model36,1,33.87408471,0.00013738,0.01,0.23752996
model37,1,21.16859458,0.00013738,0.01,0.27899531
model38,1,13.24278526,0.00013738,0.01,0.32781734
model39,1,8.29482342,0.00013738,0.01,0.38534538
model40,1,5.2031424,0.00013738,0.01,0.45319259
model41,1,3.26933795,0.00013738,0.01,0.53329354
model42,1,2.05831047,0.00013738,0.01,0.62797635
model43,1,1.29885105,0.00013738,0.01,0.74005388
model44,1,0.82180212,0.00013738,0.01,0.87293992
model45,1,0.52158014,0.00013738,0.01,1.03079838
model46,1,0.33222669,0.00013738,0.01,1.21873648
model47,1,0.21249657,0.00013738,0.01,1.44305736
model48,1,0.13656862,0.00013738,0.01,1.71159309
model49,1,0.08825626,0.00013738,0.01,2.0341479
model50,1,0.05739689,0.00013738,0.01,2.42309371
model51,1,0.03759867,0.00013738,0.01,2.89417758
model52,1,0.02483315,0.00013738,0.01,3.46762716
model53,1,0.01655542,0.00013738,0.01,4.16967834
model54,1,0.0111534,0.00013738,0.01,5.03470628
model55,1,0.00760282,0.00013738,0.01,6.10822624
model56,1,0.00525053,0.00013738,0.01,7.4511583
model57,1,0.00367844,0.00013738,0.01,9.14594399
model58,1,0.00261768,0.00013738,0.01,11.30539719
model59,1,0.0018945,0.00013738,0.01,14.08562287
model60,1,0.00139599,0.00013738,0.01,17.70503001
model61,1,359.86895484,0.00018874,0.01,0.10669478
model62,1,224.16498264,0.00018874,0.01,0.12518435
model63,1,139.70664069,0.00018874,0.01,0.14690371
model64,1,87.12255832,0.00018874,0.01,0.17242662
model65,1,54.3692466,0.00018874,0.01,0.20243233
model66,1,33.95763563,0.00018874,0.01,0.23772632
model67,1,21.22970635,0.00018874,0.01,0.27926551
model68,1,13.28752109,0.00018874,0.01,0.32818926
model69,1,8.32760294,0.00018874,0.01,0.38585746
model70,1,5.22718798,0.00018874,0.01,0.45389793
model71,1,3.28699969,0.00018874,0.01,0.53426549
model72,1,2.07130288,0.00018874,0.01,0.62931636
model73,1,1.30842543,0.00018874,0.01,0.74190243
model74,1,0.82887209,0.00018874,0.01,0.87549178
model75,1,0.52681316,0.00018874,0.01,1.03432394
model76,1,0.33611065,0.00018874,0.01,1.22361179
model77,1,0.21538835,0.00018874,0.01,1.44980641
model78,1,0.1387295,0.00018874,0.01,1.72094757
model79,1,0.08987769,0.00018874,0.01,2.04713213
model80,1,0.05861932,0.00018874,0.01,2.44114562
model81,1,0.03852528,0.00018874,0.01,2.9193221
model82,1,0.02553982,0.00018874,0.01,3.50272582
model83,1,0.01709805,0.00018874,0.01,4.21879058
model84,1,0.01157329,0.00018874,0.01,5.10361552
model85,1,0.00793049,0.00018874,0.01,6.2052102
model86,1,0.00550865,0.00018874,0.01,7.58812416
model87,1,0.00388384,0.00018874,0.01,9.34011137
model88,1,0.00278293,0.00018874,0.01,11.58180894
model89,1,0.00202901,0.00018874,0.01,14.48091404
model90,1,0.00150683,0.00018874,0.01,18.27311918
model91,1,360.30563683,0.00025929,0.01,0.10673805
model92,1,224.48359091,0.00025929,0.01,0.12524385
model93,1,139.93919459,0.00025929,0.01,0.14698552
model94,1,87.29238059,0.00025929,0.01,0.17253913
model95,1,54.49332742,0.00025929,0.01,0.2025871
model96,1,34.04835373,0.00025929,0.01,0.23793925
model97,1,21.2960821,0.00025929,0.01,0.27955855
model98,1,13.33612886,0.00025929,0.01,0.32859266
model99,1,8.36323542,0.00025929,0.01,0.38641297
model100,1,5.25333992,0.00025929,0.01,0.45466321
model101,1,3.30622017,0.00025929,0.01,0.53532026
