model1,1,0,1000,20.0,10,1419.02042677,0,3909.00431945,0,0
model2,1,0,1000,20.0,10,1296.09392583,0,3564.64552467,112,0
model3,1,0,1000,20.0,10,1336.63133881,0,3670.30259876,56,0
model4,1,0,1500,20.0,10,1387.1644277,0,5176.25249249,0,0
model5,1,0,1500,20.0,10,1265.42270208,0,4908.99375627,112,0
model6,1,0,1500,20.0,10,1305.45029784,0,4969.12001786,56,0
model7,1,0,2000,20.0,10,1359.10097249,0,6768.15622162,0,0
model8,1,0,2000,20.0,10,1242.58811805,0,6529.03039699,112,0
model9,1,0,2000,20.0,10,1280.61797624,0,6653.74545536,56,0
model10,1,0,2500,20.0,10,1337.13702443,0,8364.27527043,0,0
model11,1,0,2500,20.0,10,1225.86740981,0,8183.28783503,112,0
model12,1,0,2500,20.0,10,1261.98984129,0,8255.77915198,56,0
model13,1,0,3000,20.0,10,1318.93845979,0,10120.16940499,0,0
model14,1,0,3000,20.0,10,1213.38858812,0,9929.10982284,112,0
model15,1,0,3000,20.0,10,1247.76614621,0,9963.93102628,56,0
model16,1,0,3500,20.0,10,1304.63411072,0,11944.72420801,0,0
model17,1,0,3500,20.0,10,1204.42068709,0,11568.51574251,112,0
model18,1,0,3500,20.0,10,1237.2176007,0,11844.61934871,56,0
model19,1,0,4000,20.0,10,1292.52704574,0,13814.22058785,0,0
model20,1,0,4000,20.0,10,1196.80999921,0,13354.58272468,112,0
model21,1,0,4000,20.0,10,1228.293057,0,13702.3148918,56,0
model22,1,0,500,20.0,10,1455.88261718,0,2165.08215664,0,0
model23,1,0,500,20.0,10,1329.44866087,0,2102.72222784,112,0
model24,1,0,500,20.0,10,1371.30415501,0,2124.33873415,56,0
model25,1,0,1000,20.0,15,1362.16639976,0,5515.08077789,0,0
model26,1,0,1000,20.0,15,1242.2281706,0,5026.32383138,112,0
model27,1,0,1000,20.0,15,1282.01133376,0,5108.01020967,56,0
model28,1,0,1500,20.0,15,1311.25875471,0,7927.50670585,0,0
model29,1,0,1500,20.0,15,1198.37880119,0,7726.91999161,112,0
model30,1,0,1500,20.0,15,1235.18439765,0,7768.00307438,56,0
model31,1,0,2000,20.0,15,1270.637925,0,10535.66047728,0,0
model32,1,0,2000,20.0,15,1165.92315232,0,10481.79333488,112,0
model33,1,0,2000,20.0,15,1200.11986475,0,10524.30957294,56,0
model34,1,0,2500,20.0,15,1236.82717124,0,13434.31325273,0,0
model35,1,0,2500,20.0,15,1139.98829414,0,13316.99638728,112,0
