,dimensionless,dimensionless,dimensionless,Hz,dimensionless,CHF,g,W
modelPuck,1,1,1,300000.0,1,4000.0,830.0,8.0
modelHDL32,1,1,1,695000.0,1,30000.0,1300.0,12.0
modelHDL64,1,1,1,1300000.0,1,75000.0,12700.0,60.0
modelPandar40,1,1,1,720000.0,1,?,1430.0,15.0
modelPandar40P,1,1,1,720000.0,1,?,1520.0,18.0
modelPandar64,1,1,1,1152000.0,1,?,1520.0,22.0
modelPandar128,1,1,1,3460000.0,1,?,1630.0,25.0
modelOS0128,1,1,1,2620000.0,1,6000.0,445.0.0,17.0
modelOS1128,1,1,1,2620000.0,1,3500.0,455.0.0,17.0
modelOS2128,1,1,1,2620000.0,1,16000.0,930.0.0,21.0


,pixel/steradian,Hz,dimensionless,CHF,g,W
modelAce251gm,2300000.0,51.0,1,550.0,105.0,3.8
modelAce160um,2300000.0,160.0,1,550.0,90.0,4.3
modelAce22gm,5000000.0,22.0,1,500.0,105.0,3.1
modelAce13gm,8300000.0,13.0,1,530.0,105.0,3.1
modelAce7gm,16100000.0,7.0,1,1800.0,105.0,3.6
modelAce5gm,20200000.0,5.0,1,2220.0,105.0,3.6
modelAce15um,24400000.0,15.0,1,2630.0,90.0,3.6
modelPointgrey,1400000.0,15.0,1,350.0,58.0,2.5


 provides false_positives [dimensionless]
   provides false_negatives [dimensionless]
   provides accuracy [dimensionless]
   provides frequency [Hz]
   provides environment [dimensionless]
   requires cost [CHF]
   requires mass [g]
   requires power [W]
